rid,singer,title,top1_word,top3_words,top1_match,top3_match
228908,周杰伦,晴天,好,好、si、一天,0,0
324244,周杰伦,青花瓷,等,等、天、青色,0,0
440613,周杰伦,稻香,继续,继续、笑、梦,0,0
94237,周杰伦,七里香,像,像、爱、整夜,0,0
440616,周杰伦,兰亭序,等,等、无关、风月,0,0
440615,周杰伦,花海,爱,爱、离开、喜欢,0,0
7149583,周杰伦,告白气球,亲爱,亲爱、说、拥有,0,0
118980,周杰伦,夜曲,爱情,爱情、失去、为,0,0
94239,周杰伦,搁浅,读着,读着、原谅、会,0,0
3195905,周杰伦,红尘客栈,为,为、红尘、只求,0,1
324243,周杰伦,蒲公英的约定,一起,一起、长大、约定,0,1
118987,周杰伦,枫,爱,爱、像、枫叶,0,0
440623,周杰伦,说好的幸福呢,说好,说好、幸福、爱,1,1
728677,周杰伦,烟花易冷,等,等、雨、纷纷,0,0
6871880,周杰伦,一路向北,泪,泪、一路、向北,0,1
550531860,周杰伦,那天下雨了,出现,出现、离开、彩虹,0,0
440614,周杰伦,给我一首歌的时间,说,说、能、不该,0,0
588552,周杰伦,爱在西元前,爱,爱、西元前、写,1,1
138246,周杰伦,退后,错,错、回忆、爱情,0,0
118990,周杰伦,发如雪,儿,儿、爱、发如雪,0,1
156522,周杰伦,简单爱,想,想、爱、牵着,0,1
3197116,周杰伦,明明就,明明,明明、多、为,1,1
728675,周杰伦,说了再见,不到,不到、说、飘,0,1
235498,周杰伦,半岛铁盒,铁盒,铁盒、样子、走,1,1
138243,周杰伦,听妈妈的话,妈妈,妈妈、长大、别人,1,1
93157,林俊杰,江南,懂,懂、温柔、多,0,0
93151,林俊杰,美人鱼,为,为、抬头、看见,0,0
27352695,林俊杰,街道,get,get、down、街道,0,1
442546,林俊杰,Always Online,one,one、always、online,0,1
992040,林俊杰,背对背拥抱,想,想、拥抱、背对背,0,1
3244328,林俊杰,修炼爱情,几年,几年、别、修炼,0,1
125802,林俊杰,曹操,三国,三国、英雄、独自,0,0
106364,林俊杰,一千年以后,一千年,一千年、以后、缠绕,1,1
197473430,林俊杰,可惜没如果,该,该、沉默、时,0,0
6802907,林俊杰,关键词,爱,爱、落叶、位置,0,0
908195,林俊杰,当你,当,当、想、说,1,1
1120967,林俊杰,那些你很冒险的梦,当,当、爱、不想,0,0
442549,林俊杰,不潮不用花钱,抠,抠、what、see,0,0
27783249,林俊杰,小酒窝,合,合、女、小,0,1
441757,林俊杰,我还想她,告诉,告诉、想、泪水,0,1
270880103,林俊杰,愿与愁,多久,多久、挥手、林俊杰,0,0
6182865,林俊杰,可惜没如果,该,该、沉默、时,0,0
6192858,林俊杰,手心的蔷薇,蔷薇,蔷薇、陪、盼,1,1
438658,林俊杰,醉赤壁,眼神,眼神、确认、遇上,0,0
3209103,林俊杰,江南,懂,懂、温柔、以为,0,0
260712441,林俊杰,达尔文,人,人、进化、成,0,0
891712,林俊杰,她说,等,等、不到、天黑,0,0
41212233,林俊杰,飞云之下,女,女、之下、男,0,1
908202,林俊杰,心墙,一道,一道、墙、窗,0,1
3209099,林俊杰,不潮不用花钱,抠,抠、what、see,0,0
321260769,G.E.M. 邓紫棋,唯一,真的,真的、爱、唯一,0,1
5245130,G.E.M. 邓紫棋,喜欢你,愿,愿、双眼、喜欢,0,1
39515638,G.E.M. 邓紫棋,桃花诺,忘,忘、一、爱,0,0
1245657,G.E.M. 邓紫棋,泡沫,泡沫,泡沫、难过、看破,1,1
15195332,G.E.M. 邓紫棋,光年之外,以外,以外、疯狂、根本,0,0
6307329,G.E.M. 邓紫棋,多远都要在一起,爱,爱、想、远距离,0,0
5746578,G.E.M. 邓紫棋,龙卷风,想,想、离开、不知不觉,0,0
51648461,G.E.M. 邓紫棋,倒数,一直,一直、倒数、剩下,0,1
6691107,G.E.M. 邓紫棋,来自天堂的魔鬼,away,away、took、heart,0,0
6683124,G.E.M. 邓紫棋,再见,再见,再见、说、就算,1,1
321271232,G.E.M. 邓紫棋,唯一 (Live),说,说、真的、爱,0,0
83765010,G.E.M. 邓紫棋,句号,慢慢,慢慢、会、多少,0,0
22837411,G.E.M. 邓紫棋,写不完的温柔,颤抖,颤抖、温柔、一直,0,1
157537198,G.E.M. 邓紫棋,泡沫 (3D环绕版),泡沫,泡沫、难过、看破,1,1
889558,G.E.M. 邓紫棋,我的秘密,秘密,秘密、心里、好像,1,1
442262,G.E.M. 邓紫棋,Where Did U Go (Album Version),where,where、did、go,1,1
6488737,G.E.M. 邓紫棋,你不是真正的快乐,快乐,快乐、我要、决定,1,1
557982910,G.E.M. 邓紫棋,让你知道,你别,你别、靠近、没说的,0,0
7087465,G.E.M. 邓紫棋,画 (Live Piano Session Ⅱ),像,像、等待、爱情,0,0
478175183,G.E.M. 邓紫棋,光年之外 (G.E.M.重生版),以外,以外、疯狂、根本,0,0
727161,G.E.M. 邓紫棋,A.I.N.Y.,爱,爱、曾经、心,0,0
319933051,G.E.M. 邓紫棋,海阔天空,怕,怕、一天、会,0,0
7187128,G.E.M. 邓紫棋,红蔷薇白玫瑰,爱,爱、月亮、死去,0,0
4836506,G.E.M. 邓紫棋,后会无期,当,当、人成、谜,0,0
