singer,song_count,songs_with_title,title_appearance_rate,total_occurrences,average_occurrences_per_song
李圣杰,24,24,100.0,120,5.0
刘若英,25,24,96.0,167,6.68
梁静茹,25,24,96.0,105,4.2
A-Lin,25,23,92.0,96,3.84
迪克牛仔,24,22,91.67,143,5.958
潘玮柏,23,21,91.3,132,5.739
黄品源,22,20,90.91,102,4.636
Lady Gaga,25,22,88.0,346,13.84
光良,24,21,87.5,189,7.875
张信哲,23,20,86.96,113,4.913
五月天,25,21,84.0,132,5.28
方大同,25,21,84.0,132,5.28
小乐哥（王唯乐）,25,21,84.0,113,4.52
蔡健雅,25,21,84.0,68,2.72
王心凌,24,20,83.33,142,5.917
邰正宵,24,20,83.33,119,4.958
Taylor Swift,25,20,80.0,225,9.0
任贤齐,25,20,80.0,135,5.4
卓依婷,25,20,80.0,113,4.52
阿杜,25,20,80.0,107,4.28
林俊杰,25,20,80.0,102,4.08
BY2,25,20,80.0,78,3.12
陶喆,24,19,79.17,123,5.125
林志炫,24,19,79.17,52,2.167
杨宗纬,23,18,78.26,86,3.739
庾澄庆,22,17,77.27,117,5.318
Michael Jackson,25,19,76.0,450,18.0
Justin Bieber,25,19,76.0,435,17.4
S.H.E,25,19,76.0,149,5.96
萧亚轩,25,19,76.0,125,5.0
孙燕姿,25,19,76.0,103,4.12
徐佳莹,25,19,76.0,81,3.24
张宇,25,19,76.0,77,3.08
王杰,25,19,76.0,74,2.96
周杰伦,25,19,76.0,71,2.84
张敬轩,25,19,76.0,71,2.84
阿桑,23,17,73.91,82,3.565
莫文蔚,23,17,73.91,48,2.087
陈百强,25,18,72.0,107,4.28
王力宏,25,18,72.0,104,4.16
蔡依林,25,18,72.0,99,3.96
杨丞琳,25,18,72.0,97,3.88
陈慧琳,24,17,70.83,78,3.25
动力火车,23,16,69.57,151,6.565
张惠妹,25,17,68.0,116,4.64
张韶涵,25,17,68.0,92,3.68
F.I.R.飞儿乐团,25,17,68.0,67,2.68
邓丽君,25,17,68.0,58,2.32
郭静,25,16,64.0,89,3.56
王靖雯,25,16,64.0,73,2.92
BIGBANG,25,15,60.0,137,5.48
陈奕迅,25,15,60.0,51,2.04
林忆莲,25,15,60.0,49,1.96
Alan Walker,24,14,58.33,151,6.292
郑智化,24,14,58.33,91,3.792
G.E.M. 邓紫棋,24,14,58.33,86,3.583
谢霆锋,24,14,58.33,63,2.625
张震岳,23,13,56.52,82,3.565
周华健,25,14,56.0,97,3.88
队长,25,14,56.0,96,3.84
张学友,25,14,56.0,90,3.6
周传雄,25,14,56.0,86,3.44
BEYOND,25,14,56.0,69,2.76
刘德华,25,14,56.0,60,2.4
谭咏麟,25,14,56.0,43,1.72
梅艳芳,24,13,54.17,78,3.25
容祖儿,24,13,54.17,74,3.083
告五人,24,13,54.17,63,2.625
林子祥,19,10,52.63,41,2.158
李克勤,23,12,52.17,29,1.261
叶蒨文,25,13,52.0,78,3.12
李翊君,25,13,52.0,76,3.04
伍佰 & China Blue,25,13,52.0,33,1.32
周慧敏,24,12,50.0,42,1.75
高胜美,25,12,48.0,79,3.16
韩宝仪,25,12,48.0,47,1.88
罗文,25,12,48.0,33,1.32
黎明,24,11,45.83,59,2.458
张国荣,24,11,45.83,38,1.583
金润吉,25,11,44.0,155,6.2
刀郎,25,11,44.0,48,1.92
陈小春,25,11,44.0,44,1.76
赵乃吉,25,11,44.0,38,1.52
郑中基,21,9,42.86,46,2.19
王宇宙Leto,24,10,41.67,35,1.458
齐秦,25,10,40.0,58,2.32
草蜢,24,9,37.5,49,2.042
王艳薇,24,9,37.5,35,1.458
Richard Clayderman,14,5,35.71,7,0.5
陈慧娴,23,8,34.78,23,1.0
李宗盛,20,6,30.0,46,2.3
杨千嬅,20,5,25.0,18,0.9
EXO,25,6,24.0,88,3.52
唐伯虎Annie,25,6,24.0,19,0.76
刘珂矣,24,5,20.83,29,1.208
ProdbyMend,25,5,20.0,5,0.2
老板,25,4,16.0,19,0.76
伯爵Johnny,15,2,13.33,4,0.267
草帽酱,25,3,12.0,4,0.16
Grimmmz,20,0,0.0,0,0.0
