singer,song_count,rank,word,count
A-Lin,25,1,爱,114
A-Lin,25,2,人,63
A-Lin,25,3,音乐,57
A-Lin,25,4,说,50
A-Lin,25,5,mx,31
Alan Walker,24,1,by,108
Alan Walker,24,2,ll,69
Alan Walker,24,3,so,60
Alan Walker,24,4,fine,54
Alan Walker,24,5,when,53
BEYOND,25,1,一生,52
BEYOND,25,2,自由,46
BEYOND,25,3,会,44
BEYOND,25,4,怕,44
BEYOND,25,5,一天,43
BIGBANG,25,1,이,409
BIGBANG,25,2,지,322
BIGBANG,25,3,나,293
BIGBANG,25,4,아,269
BIGBANG,25,5,가,236
BY2,25,1,爱,78
BY2,25,2,miko,72
BY2,25,3,yumi,71
BY2,25,4,说,46
BY2,25,5,多,41
EXO,25,1,이,209
EXO,25,2,나,197
EXO,25,3,는,135
EXO,25,4,어,121
EXO,25,5,아,120
F.I.R.飞儿乐团,25,1,爱,129
F.I.R.飞儿乐团,25,2,飞,55
F.I.R.飞儿乐团,25,3,不再,39
F.I.R.飞儿乐团,25,4,留下,36
F.I.R.飞儿乐团,25,5,走,33
G.E.M. 邓紫棋,24,1,爱,87
G.E.M. 邓紫棋,24,2,away,53
G.E.M. 邓紫棋,24,3,快乐,36
G.E.M. 邓紫棋,24,4,想,33
G.E.M. 邓紫棋,24,5,说,33
Grimmmz,20,1,爱,58
Grimmmz,20,2,like,36
Grimmmz,20,3,如,27
Grimmmz,20,4,don,27
Grimmmz,20,5,舞动,26
Justin Bieber,25,1,宝贝,314
Justin Bieber,25,2,love,162
Justin Bieber,25,3,like,119
Justin Bieber,25,4,爱,110
Justin Bieber,25,5,all,105
Lady Gaga,25,1,mum,285
Lady Gaga,25,2,can,240
Lady Gaga,25,3,read,198
Lady Gaga,25,4,face,195
Lady Gaga,25,5,扑克,194
Michael Jackson,25,1,beat,256
Michael Jackson,25,2,避开,143
Michael Jackson,25,3,re,139
Michael Jackson,25,4,not,138
Michael Jackson,25,5,just,128
ProdbyMend,25,1,爱,63
ProdbyMend,25,2,ve,33
ProdbyMend,25,3,等,27
ProdbyMend,25,4,像,27
ProdbyMend,25,5,后,27
Richard Clayderman,14,1,为,13
Richard Clayderman,14,2,克莱德曼,11
Richard Clayderman,14,3,纯音乐,8
Richard Clayderman,14,4,请,8
Richard Clayderman,14,5,欣赏,8
S.H.E,25,1,爱,94
S.H.E,25,2,不想,36
S.H.E,25,3,说,34
S.H.E,25,4,像,32
S.H.E,25,5,永远,32
Taylor Swift,25,1,but,92
Taylor Swift,25,2,ll,91
Taylor Swift,25,3,by,81
Taylor Swift,25,4,just,78
Taylor Swift,25,5,never,77
五月天,25,1,会,37
五月天,25,2,要,34
五月天,25,3,快乐,33
五月天,25,4,像,33
五月天,25,5,人,33
任贤齐,25,1,人,88
任贤齐,25,2,心,60
任贤齐,25,3,爱,51
任贤齐,25,4,一波,45
任贤齐,25,5,想,41
伍佰 & China Blue,25,1,爱,62
伍佰 & China Blue,25,2,将,47
伍佰 & China Blue,25,3,说,45
伍佰 & China Blue,25,4,心中,37
伍佰 & China Blue,25,5,总是,36
伯爵Johnny,15,1,人,63
伯爵Johnny,15,2,问,55
伯爵Johnny,15,3,明月,50
伯爵Johnny,15,4,万年,46
伯爵Johnny,15,5,公子王孙,39
光良,24,1,爱,76
光良,24,2,第一次,70
光良,24,3,说,66
光良,24,4,里,62
光良,24,5,相信,58
刀郎,25,1,刀郎,46
刀郎,25,2,爱,41
刀郎,25,3,by,30
刀郎,25,4,呦,24
刀郎,25,5,中,22
刘德华,25,1,爱,43
刘德华,25,2,开始,32
刘德华,25,3,已,24
刘德华,25,4,唱,24
刘德华,25,5,好久,24
刘珂矣,24,1,岁月,36
刘珂矣,24,2,便,32
刘珂矣,24,3,风月,32
刘珂矣,24,4,怎知,29
刘珂矣,24,5,浮生,29
刘若英,25,1,爱,138
刘若英,25,2,人,79
刘若英,25,3,像,62
刘若英,25,4,想,43
刘若英,25,5,说,40
动力火车,23,1,爱,90
动力火车,23,2,当,45
动力火车,23,3,背叛,36
动力火车,23,4,永远,34
动力火车,23,5,走,33
卓依婷,25,1,泥鳅,42
卓依婷,25,2,捉,36
卓依婷,25,3,爱,33
卓依婷,25,4,哥哥,30
卓依婷,25,5,男,25
叶蒨文,25,1,会,35
叶蒨文,25,2,爱,33
叶蒨文,25,3,留,30
叶蒨文,25,4,一半,30
叶蒨文,25,5,选择,30
告五人,24,1,爱,50
告五人,24,2,占据,44
告五人,24,3,爱人,43
告五人,24,4,错过,43
告五人,24,5,相撞,42
周传雄,25,1,爱,66
周传雄,25,2,黄昏,40
周传雄,25,3,中,36
周传雄,25,4,像,35
周传雄,25,5,依然,34
周华健,25,1,会,47
周华健,25,2,匆匆,46
周华健,25,3,一生,43
周华健,25,4,爱,38
周华健,25,5,走,36
周慧敏,24,1,爱,95
周慧敏,24,2,难,64
周慧敏,24,3,一生,41
周慧敏,24,4,说,40
周慧敏,24,5,月,37
周杰伦,25,1,爱,73
周杰伦,25,2,想,48
周杰伦,25,3,说,43
周杰伦,25,4,等,31
周杰伦,25,5,回忆,27
唐伯虎Annie,25,1,人,87
唐伯虎Annie,25,2,爱,41
唐伯虎Annie,25,3,问,36
唐伯虎Annie,25,4,明月,31
唐伯虎Annie,25,5,何必,29
孙燕姿,25,1,会,42
孙燕姿,25,2,爱,40
孙燕姿,25,3,人,33
孙燕姿,25,4,身边,33
孙燕姿,25,5,如此,32
容祖儿,24,1,要,47
容祖儿,24,2,人,42
容祖儿,24,3,fly,36
容祖儿,24,4,爱,34
容祖儿,24,5,小小的,34
小乐哥（王唯乐）,25,1,慢慢,133
小乐哥（王唯乐）,25,2,会,73
小乐哥（王唯乐）,25,3,爱,54
小乐哥（王唯乐）,25,4,突然,47
小乐哥（王唯乐）,25,5,执迷不悟,46
庾澄庆,22,1,一次,57
庾澄庆,22,2,爱个,56
庾澄庆,22,3,够,55
庾澄庆,22,4,会,54
庾澄庆,22,5,里,51
张信哲,23,1,爱,77
张信哲,23,2,说,61
张信哲,23,3,想,51
张信哲,23,4,是否,41
张信哲,23,5,会,38
张国荣,24,1,心里,33
张国荣,24,2,thanks,32
张国荣,24,3,路,28
张国荣,24,4,快乐,24
张国荣,24,5,不再,24
张学友,25,1,爱,54
张学友,25,2,伤心,51
张学友,25,3,等,47
张学友,25,4,理由,45
张学友,25,5,一千个,36
张宇,25,1,爱,160
张宇,25,2,要,100
张宇,25,3,说,47
张宇,25,4,几分,42
张宇,25,5,哪里,32
张惠妹,25,1,爱,71
张惠妹,25,2,说,56
张惠妹,25,3,要,44
张惠妹,25,4,bad,44
张惠妹,25,5,boy,44
张敬轩,25,1,爱,117
张敬轩,25,2,吻,62
张敬轩,25,3,想,59
张敬轩,25,4,会,40
张敬轩,25,5,好,39
张震岳,23,1,差不多,123
张震岳,23,2,走,68
张震岳,23,3,说,57
张震岳,23,4,爱,55
张震岳,23,5,要,49
张韶涵,25,1,会,47
张韶涵,25,2,梦,47
张韶涵,25,3,人,40
张韶涵,25,4,爱,35
张韶涵,25,5,快乐,34
徐佳莹,25,1,爱,75
徐佳莹,25,2,人,44
徐佳莹,25,3,音乐,41
徐佳莹,25,4,要,33
徐佳莹,25,5,说,30
方大同,25,1,爱,144
方大同,25,2,love,76
方大同,25,3,人,67
方大同,25,4,会,67
方大同,25,5,要,37
李克勤,23,1,就算,121
李克勤,23,2,命运,111
李克勤,23,3,一生,75
李克勤,23,4,别,45
李克勤,23,5,能,39
李圣杰,24,1,爱,135
李圣杰,24,2,会,55
李圣杰,24,3,不想,47
李圣杰,24,4,人,35
李圣杰,24,5,最后,35
李宗盛,20,1,也好,48
李宗盛,20,2,虽然,42
李宗盛,20,3,人生,35
李宗盛,20,4,人,35
李宗盛,20,5,曾,32
李翊君,25,1,爱,98
李翊君,25,2,永远,82
李翊君,25,3,多少,58
李翊君,25,4,雨,52
李翊君,25,5,说,52
杨丞琳,25,1,音乐,90
杨丞琳,25,2,爱,77
杨丞琳,25,3,维伴,71
杨丞琳,25,4,会,50
杨丞琳,25,5,像,42
杨千嬅,20,1,吻,86
杨千嬅,20,2,便,50
杨千嬅,20,3,一吻,48
杨千嬅,20,4,人,45
杨千嬅,20,5,爱,25
杨宗纬,23,1,音乐,63
杨宗纬,23,2,维伴,50
杨宗纬,23,3,女,42
杨宗纬,23,4,男,41
杨宗纬,23,5,多,32
林俊杰,25,1,爱,43
林俊杰,25,2,说,43
林俊杰,25,3,get,40
林俊杰,25,4,想,40
林俊杰,25,5,抠,36
林子祥,19,1,不需,66
林子祥,19,2,人,35
林子祥,19,3,身边,34
林子祥,19,4,吻,32
林子祥,19,5,做,32
林忆莲,25,1,爱,70
林忆莲,25,2,直到,54
林忆莲,25,3,女,49
林忆莲,25,4,真的,48
林忆莲,25,5,会,38
林志炫,24,1,人,126
林志炫,24,2,爱,104
林志炫,24,3,单身,56
林志炫,24,4,想,45
林志炫,24,5,中,42
梁静茹,25,1,爱,83
梁静茹,25,2,说,69
梁静茹,25,3,会,64
梁静茹,25,4,人,58
梁静茹,25,5,想,40
梅艳芳,24,1,爱,46
梅艳芳,24,2,花,40
梅艳芳,24,3,女人,40
梅艳芳,24,4,中,35
梅艳芳,24,5,已,32
潘玮柏,23,1,love,113
潘玮柏,23,2,爱,96
潘玮柏,23,3,快乐,73
潘玮柏,23,4,要,66
潘玮柏,23,5,会,61
王力宏,25,1,爱,95
王力宏,25,2,女,44
王力宏,25,3,男,43
王力宏,25,4,说,33
王力宏,25,5,从来,30
王宇宙Leto,24,1,若,58
王宇宙Leto,24,2,吹,51
王宇宙Leto,24,3,没来,49
王宇宙Leto,24,4,想,46
王宇宙Leto,24,5,世界,37
王心凌,24,1,da,108
王心凌,24,2,爱,81
王心凌,24,3,好,63
王心凌,24,4,吹,59
王心凌,24,5,眨,48
王杰,25,1,说,64
王杰,25,2,爱,62
王杰,25,3,忘,52
王杰,25,4,当,47
王杰,25,5,梦,42
王艳薇,24,1,有点,76
王艳薇,24,2,爱,76
王艳薇,24,3,离开,57
王艳薇,24,4,依赖,52
王艳薇,24,5,痛快,51
王靖雯,25,1,爱,62
王靖雯,25,2,会,54
王靖雯,25,3,忘,53
王靖雯,25,4,从前,33
王靖雯,25,5,说,32
罗文,25,1,女,81
罗文,25,2,男,79
罗文,25,3,中,39
罗文,25,4,合,37
罗文,25,5,断,24
老板,25,1,像,64
老板,25,2,宣发,57
老板,25,3,个,56
老板,25,4,爱,52
老板,25,5,公司,45
草帽酱,25,1,为,69
草帽酱,25,2,梨花,44
草帽酱,25,3,能,39
草帽酱,25,4,相思,37
草帽酱,25,5,一曲,35
草蜢,24,1,将,52
草蜢,24,2,交给,51
草蜢,24,3,爱,45
草蜢,24,4,心,44
草蜢,24,5,一起,43
