rid,singer,title,clean_title,occurrences,appeared
228908,周杰伦,晴天,晴天,0,0
324244,周杰伦,青花瓷,青花瓷,3,1
440613,周杰伦,稻香,稻香,3,1
94237,周杰伦,七里香,七里香,1,1
440616,周杰伦,兰亭序,兰亭序,0,0
440615,周杰伦,花海,花海,0,0
7149583,周杰伦,告白气球,告白气球,2,1
118980,周杰伦,夜曲,夜曲,4,1
94239,周杰伦,搁浅,搁浅,2,1
3195905,周杰伦,红尘客栈,红尘客栈,2,1
324243,周杰伦,蒲公英的约定,蒲公英的约定,0,0
118987,周杰伦,枫,枫,5,1
440623,周杰伦,说好的幸福呢,说好的幸福呢,6,1
728677,周杰伦,烟花易冷,烟花易冷,1,1
6871880,周杰伦,一路向北,一路向北,3,1
550531860,周杰伦,那天下雨了,那天下雨了,0,0
440614,周杰伦,给我一首歌的时间,给我一首歌的时间,6,1
588552,周杰伦,爱在西元前,爱在西元前,2,1
138246,周杰伦,退后,退后,3,1
118990,周杰伦,发如雪,发如雪,10,1
156522,周杰伦,简单爱,简单爱,0,0
3197116,周杰伦,明明就,明明就,7,1
728675,周杰伦,说了再见,说了再见,3,1
235498,周杰伦,半岛铁盒,半岛铁盒,2,1
138243,周杰伦,听妈妈的话,听妈妈的话,6,1
93157,林俊杰,江南,江南,3,1
93151,林俊杰,美人鱼,美人鱼,0,0
27352695,林俊杰,街道,街道,13,1
442546,林俊杰,Always Online,Always Online,7,1
992040,林俊杰,背对背拥抱,背对背拥抱,6,1
3244328,林俊杰,修炼爱情,修炼爱情,5,1
125802,林俊杰,曹操,曹操,3,1
106364,林俊杰,一千年以后,一千年以后,6,1
197473430,林俊杰,可惜没如果,可惜没如果,4,1
6802907,林俊杰,关键词,关键词,3,1
908195,林俊杰,当你,当你,18,1
1120967,林俊杰,那些你很冒险的梦,那些你很冒险的梦,3,1
442549,林俊杰,不潮不用花钱,不潮不用花钱,0,0
27783249,林俊杰,小酒窝,小酒窝,5,1
441757,林俊杰,我还想她,我还想她,4,1
270880103,林俊杰,愿与愁,愿与愁,3,1
6182865,林俊杰,可惜没如果,可惜没如果,4,1
6192858,林俊杰,手心的蔷薇,手心的蔷薇,3,1
438658,林俊杰,醉赤壁,醉赤壁,0,0
3209103,林俊杰,江南,江南,3,1
260712441,林俊杰,达尔文,达尔文,1,1
891712,林俊杰,她说,她说,2,1
41212233,林俊杰,飞云之下,飞云之下,6,1
908202,林俊杰,心墙,心墙,0,0
3209099,林俊杰,不潮不用花钱,不潮不用花钱,0,0
321260769,G.E.M. 邓紫棋,唯一,唯一,3,1
5245130,G.E.M. 邓紫棋,喜欢你,喜欢你,3,1
39515638,G.E.M. 邓紫棋,桃花诺,桃花诺,0,0
1245657,G.E.M. 邓紫棋,泡沫,泡沫,10,1
15195332,G.E.M. 邓紫棋,光年之外,光年之外,2,1
6307329,G.E.M. 邓紫棋,多远都要在一起,多远都要在一起,3,1
5746578,G.E.M. 邓紫棋,龙卷风,龙卷风,6,1
51648461,G.E.M. 邓紫棋,倒数,倒数,6,1
6691107,G.E.M. 邓紫棋,来自天堂的魔鬼,来自天堂的魔鬼,3,1
6683124,G.E.M. 邓紫棋,再见,再见,16,1
321271232,G.E.M. 邓紫棋,唯一 (Live),唯一,0,0
83765010,G.E.M. 邓紫棋,句号,句号,3,1
22837411,G.E.M. 邓紫棋,写不完的温柔,写不完的温柔,0,0
157537198,G.E.M. 邓紫棋,泡沫 (3D环绕版),泡沫 (3D环绕版),0,0
889558,G.E.M. 邓紫棋,我的秘密,我的秘密,2,1
442262,G.E.M. 邓紫棋,Where Did U Go (Album Version),Where Did U Go (Album Version),0,0
6488737,G.E.M. 邓紫棋,你不是真正的快乐,你不是真正的快乐,4,1
557982910,G.E.M. 邓紫棋,让你知道,让你知道,21,1
7087465,G.E.M. 邓紫棋,画 (Live Piano Session Ⅱ),画,4,1
478175183,G.E.M. 邓紫棋,光年之外 (G.E.M.重生版),光年之外 (G.E.M.重生版),0,0
727161,G.E.M. 邓紫棋,A.I.N.Y.,A.I.N.Y.,0,0
319933051,G.E.M. 邓紫棋,海阔天空,海阔天空,0,0
7187128,G.E.M. 邓紫棋,红蔷薇白玫瑰,红蔷薇白玫瑰,0,0
4836506,G.E.M. 邓紫棋,后会无期,后会无期,0,0
80403,陈奕迅,十年,十年,4,1
198554068,陈奕迅,孤勇者,孤勇者,0,0
317730,陈奕迅,富士山下,富士山下,0,0
239082,陈奕迅,爱情转移,爱情转移,0,0
110247,陈奕迅,浮夸,浮夸,3,1
1038994,陈奕迅,好久不见,好久不见,2,1
941528,陈奕迅,因为爱情,因为爱情,8,1
236687,陈奕迅,淘汰,淘汰,3,1
391611,陈奕迅,不要说话,不要说话,3,1
320058,陈奕迅,单车,单车,3,1
1037667,陈奕迅,红玫瑰,红玫瑰,0,0
1038144,陈奕迅,十年,十年,4,1
4148191,陈奕迅,阴天快乐,阴天快乐,3,1
231144,陈奕迅,最佳损友,最佳损友,1,1
6655007,陈奕迅,陪你度过漫长岁月,陪你度过漫长岁月,0,0
1104619,陈奕迅,孤独患者,孤独患者,6,1
28423286,陈奕迅,富士山下,富士山下,0,0
387111,陈奕迅,富士山下,富士山下,0,0
3236471,陈奕迅,稳稳的幸福,稳稳的幸福,7,1
124335,陈奕迅,最佳损友,最佳损友,1,1
125120,陈奕迅,K歌之王,K歌之王,1,1
110246,陈奕迅,葡萄成熟时,葡萄成熟时,0,0
293133,陈奕迅,十面埋伏,十面埋伏,2,1
665155,陈奕迅,一丝不挂,一丝不挂,0,0
200677874,陈奕迅,孤勇者(热血epic版),孤勇者(热血epic版),0,0
5886682,BEYOND,海阔天空,海阔天空,0,0
1033391,BEYOND,真的爱你,真的爱你,4,1
1106172,BEYOND,光辉岁月,光辉岁月,5,1
1218733,BEYOND,灰色轨迹,灰色轨迹,0,0
174206,BEYOND,不再犹豫,不再犹豫,0,0
4837187,BEYOND,光辉岁月,光辉岁月,5,1
5062432,BEYOND,情人,情人,0,0
19534406,BEYOND,光辉岁月,光辉岁月,5,1
102861,BEYOND,大地,大地,1,1
174051,BEYOND,喜欢你,喜欢你,3,1
174250,BEYOND,海阔天空,海阔天空,0,0
93385,BEYOND,不再犹豫,不再犹豫,0,0
81190066,BEYOND,AMANI,AMANI,16,1
155169760,BEYOND,海阔天空 (chunk 1),海阔天空 (chunk 1),0,0
68775530,BEYOND,冷雨夜,冷雨夜,6,1
363246,BEYOND,逝去日子,逝去日子,10,1
1106150,BEYOND,午夜怨曲,午夜怨曲,0,0
378414277,BEYOND,灰色軌跡 (Grey Trail),灰色軌跡 (Grey Trail),0,0
174205,BEYOND,谁伴我闯荡,谁伴我闯荡,2,1
174183,BEYOND,无悔这一生,无悔这一生,1,1
21120764,BEYOND,光辉岁月,光辉岁月,5,1
79376,BEYOND,无尽空虚,无尽空虚,4,1
174172,BEYOND,谁伴我闯荡,谁伴我闯荡,2,1
21765238,BEYOND,海阔天空,海阔天空,0,0
332301462,BEYOND,海阔天空 (Edit),海阔天空 (Edit),0,0
157908,张学友,吻别,吻别,6,1
157606,张学友,一路上有你,一路上有你,8,1
157767,张学友,等你等到我心痛,等你等到我心痛,0,0
4076579,张学友,旧情绵绵,旧情绵绵,0,0
357996004,张学友,一千个伤心的理由,一千个伤心的理由,12,1
377528,张学友,等你等到我心痛,等你等到我心痛,0,0
328049,张学友,我等到花儿也谢了,我等到花儿也谢了,7,1
157612,张学友,如果这都不算爱,如果这都不算爱,4,1
157938,张学友,偷心,偷心,0,0
158181,张学友,祝福,祝福,3,1
157761,张学友,只想一生跟你走,只想一生跟你走,0,0
158082,张学友,忘情冷雨夜,忘情冷雨夜,0,0
54272,张学友,只想一生跟你走,只想一生跟你走,0,0
25251970,张学友,遥远的她,遥远的她,6,1
328050,张学友,一千个伤心的理由,一千个伤心的理由,12,1
122173,张学友,一千个伤心的理由 (Live),一千个伤心的理由,12,1
225689,张学友,烦恼歌,烦恼歌,0,0
158039,张学友,如果这都不算爱,如果这都不算爱,4,1
99018,张学友,忘记你我做不到,忘记你我做不到,6,1
158205,张学友,情系半生,情系半生,0,0
